"Nombre","Último","Var","Var..","Vol","Max","Min","Fecha"
"Acciona","186","-1,7","-0,91%","97.916","191,2","185,6","25/05/2022"
"Acerinox","11,1","0,38","3,54%","1.280.047","11,14","10,8","25/05/2022"
"ACS","25,86","0,07","0,27%","493.464","25,89","25,59","25/05/2022"
"Aena","139","3,15","2,32%","107.707","139,65","136,6","25/05/2022"
"Almirall","10,43","0,08","0,77%","489.616","10,53","10,21","25/05/2022"
"Amadeus","57,84","0,76","1,33%","542.921","58,06","56,56","25/05/2022"
"ArcelorMittal","28,565","0,485","1,73%","568.548","28,72","28,15","25/05/2022"
"Banco Sabadell","0,82","0,029","3,62%","44.445.196","0,82","0,8","25/05/2022"
"Banco Santander","2,953","0,06","2,06%","38.356.040","2,97","2,9","25/05/2022"
"Bankinter","5,968","0,138","2,37%","1.913.978","5,97","5,83","25/05/2022"
"BBVA","4,895","0,05","1,04%","14.983.544","4,95","4,83","25/05/2022"
"Caixabank","3,37","0,085","2,59%","20.398.007","3,37","3,28","25/05/2022"
"Cellnex","41,31","0,06","0,15%","803.436","41,8","40,93","25/05/2022"
"CIE Automotive","22,16","0,52","2,4%","226.084","22,24","21,48","25/05/2022"
"Enagas","22,11","0,13","0,59%","644.293","22,29","22","25/05/2022"
"Endesa","20,85","0,18","0,87%","798.754","20,92","20,65","25/05/2022"
"Ferrovial","24,14","0,46","1,94%","604.765","24,19","23,68","25/05/2022"
"Fluidra","23,24","0,44","1,93%","356.828","23,26","22,46","25/05/2022"
"Grifols A","19,77","-0,18","-0,9%","589.683","19,97","19,52","25/05/2022"
"Iberdrola","11,415","0,285","2,56%","12.633.657","11,44","11,14","25/05/2022"
"Inditex","20,59","0,21","1,03%","3.298.333","20,65","20,13","25/05/2022"
"Indra","9,97","0,25","2,57%","630.529","9,98","9,72","25/05/2022"
"Inmobiliaria Colonial","7,7","-0,04","-0,52%","609.284","7,78","7,64","25/05/2022"
"IAG (Iberia)","1,476","0,046","3,18%","21.891.815","1,48","1,43","25/05/2022"
"Laboratorios Rovi","59,25","0,2","0,34%","76.014","59,8","58,2","25/05/2022"
"Mapfre","1,811","0,017","0,95%","6.625.104","1,82","1,79","25/05/2022"
"Melia Hotels","6,94","0,15","2,21%","887.213","6,98","6,76","25/05/2022"
"MERLIN Properties","10,6","-0,08","-0,75%","590.072","10,82","10,52","25/05/2022"
"Naturgy (Gas Natural)","28,19","0,15","0,54%","297.047","28,51","27,93","25/05/2022"
"PharmaMar","69,66","0,96","1,4%","27.951","70,24","68,94","25/05/2022"
"REE","19,9","0,165","0,84%","803.145","20,05","19,72","25/05/2022"
"Repsol","15,02","0,315","2,14%","8.030.824","15,15","14,78","25/05/2022"
"Siemens-Gamesa","17,78","-0,12","-0,67%","6.367.148","17,9","17,78","25/05/2022"
"Solaria","22,95","0,2","0,88%","397.608","23,06","22,47","25/05/2022"
"Telefonica","4,92","0,035","0,72%","12.621.603","4,97","4,88","25/05/2022"
